,relation,dyad,subject,stimulus,pleasantness,happiness,embarassment
61,U,U06,F,2,2,1,1
62,U,U06,F,3,2,3,7
63,U,U06,F,4,4,4,4
64,U,U06,F,5,5,1,1
65,U,U06,F,6,7,1,4
66,U,U06,M,1,5,6,3
67,U,U06,M,2,2,4,4
68,U,U06,M,3,1,2,3
69,U,U06,M,4,5,4,7
70,U,U06,M,5,5,6,6
71,U,U06,M,6,6,5,7
72,U,U07,F,1,7,6,4
73,U,U07,F,2,1,4,7
74,U,U07,F,3,1,2,7
75,U,U07,F,4,2,3,7
76,U,U07,F,5,7,7,7
77,U,U07,F,6,7,7,7
78,U,U07,M,1,7,7,7
79,U,U07,M,2,2,4,4
80,U,U07,M,3,1,4,4
81,U,U07,M,4,7,6,7
82,U,U07,M,5,7,7,7
83,U,U07,M,6,7,7,7
84,U,U08,M,1,5,6,5
85,U,U08,M,2,3,4,4
86,U,U08,M,3,2,4,6
87,U,U08,M,4,6,5,7
88,U,U08,M,5,5,6,3
89,U,U08,M,6,6,6,7
90,U,U08,F,1,5,6,3
91,U,U08,F,2,2,3,7
92,U,U08,F,3,3,4,7
93,U,U08,F,4,7,7,7
94,U,U08,F,5,6,6,7
95,U,U08,F,6,6,4,7
96,U,U09,M,1,4,6,6
97,U,U09,M,2,3,5,6
98,U,U09,M,3,6,6,7
99,U,U09,M,4,7,7,7
100,U,U09,M,5,3,6,6
101,U,U09,M,6,3,6,6
102,U,U09,F,1,5,6,4
103,U,U09,F,2,3,3,7
104,U,U09,F,3,2,4,7
105,U,U09,F,4,6,5,7
106,U,U09,F,5,7,6,7
107,U,U09,F,6,7,6,7
108,U,U10,F,1,7,7,1
109,U,U10,F,2,2,4,6
110,U,U10,F,3,1,1,4
111,U,U10,F,4,4,4,4
112,U,U10,F,5,6,7,6
113,U,U10,F,6,7,7,7
114,U,U10,M,1,6,6,5
115,U,U10,M,2,3,3,6
116,U,U10,M,3,2,3,6
117,U,U10,M,4,5,4,4
118,U,U10,M,5,6,6,5
119,U,U10,M,6,5,4,4
120,U,U11,F,1,7,7,5
121,U,U11,F,2,7,3,7
122,U,U11,F,3,1,1,7
123,U,U11,F,4,7,7,7
124,U,U11,F,5,7,7,7
125,U,U11,F,6,5,7,7
126,U,U11,M,1,7,7,4
127,U,U11,M,2,4,4,7
128,U,U11,M,3,4,4,4
129,U,U11,M,4,7,7,7
130,U,U11,M,5,6,6,5
131,U,U11,M,6,5,5,7
132,U,U12,F,1,6,7,3
133,U,U12,F,2,4,3,6
134,U,U12,F,3,2,3,6
135,U,U12,F,4,4,5,7
136,U,U12,F,5,6,7,4
137,U,U12,F,6,5,5,7
138,U,U12,M,1,6,7,4
139,U,U12,M,2,5,5,7
140,U,U12,M,3,2,5,7
141,U,U12,M,4,1,4,7
142,U,U12,M,5,7,7,4
143,U,U12,M,6,7,6,7
144,U,U13,F,1,6,5,5
145,U,U13,F,2,3,3,7
146,U,U13,F,3,1,3,5
147,U,U13,F,4,6,5,6
148,U,U13,F,5,6,6,6
149,U,U13,F,6,6,6,6
150,U,U13,M,1,5,6,7
151,U,U13,M,2,5,4,7
152,U,U13,M,3,6,5,7
153,U,U13,M,4,6,7,7
154,U,U13,M,5,5,6,7
155,U,U13,M,6,4,6,7
156,U,U14,M,1,6,1,5
157,U,U14,M,2,4,3,1
158,U,U14,M,3,3,3,1
159,U,U14,M,4,7,7,7
160,U,U14,M,5,4,4,3
161,U,U14,M,6,7,7,7
162,U,U14,F,1,7,7,6
163,U,U14,F,2,2,4,7
164,U,U14,F,3,4,3,7
165,U,U14,F,4,7,6,7
166,U,U14,F,5,7,7,7
167,U,U14,F,6,6,6,7
168,U,U15,M,1,7,6,6
169,U,U15,M,2,4,4,7
170,U,U15,M,3,5,5,7
171,U,U15,M,4,7,7,7
172,U,U15,M,5,7,7,7
173,U,U15,M,6,7,7,7
174,U,U15,F,1,6,7,3
175,U,U15,F,2,4,2,7
176,U,U15,F,3,2,1,7
177,U,U15,F,4,6,5,7
178,U,U15,F,5,7,7,7
179,U,U15,F,6,5,6,7
180,U,U16,M,1,6,6,4
181,U,U16,M,2,5,3,7
182,U,U16,M,3,5,3,7
183,U,U16,M,4,5,5,7
184,U,U16,M,5,6,7,7
185,U,U16,M,6,7,6,7
186,U,U16,F,1,4,7,4
187,U,U16,F,2,5,4,7
188,U,U16,F,3,2,3,7
189,U,U16,F,4,7,6,7
190,U,U16,F,5,7,7,7
191,U,U16,F,6,7,7,7
192,U,U17,F,1,6,7,3
193,U,U17,F,2,4,3,7
194,U,U17,F,3,1,1,6
195,U,U17,F,4,6,5,7
196,U,U17,F,5,7,6,6
197,U,U17,F,6,6,4,7
198,U,U17,M,1,6,7,6
199,U,U17,M,2,3,4,7
200,U,U17,M,3,6,4,7
201,U,U17,M,4,7,6,7
202,U,U17,M,5,6,7,7
203,U,U17,M,6,7,7,7
204,U,U18,F,1,6,7,6
205,U,U18,F,2,2,5,7
206,U,U18,F,3,1,2,7
207,U,U18,F,4,7,7,7
208,U,U18,F,5,7,7,6
209,U,U18,F,6,7,5,7
210,U,U18,M,1,6,7,6
211,U,U18,M,2,6,5,7
212,U,U18,M,3,6,3,7
213,U,U18,M,4,7,7,7
214,U,U18,M,5,6,7,5
215,U,U18,M,6,6,7,7
216,U,U19,M,1,7,7,6
217,U,U19,M,2,2,4,7
218,U,U19,M,3,3,2,7
219,U,U19,M,4,7,7,7
220,U,U19,M,5,7,7,3
221,U,U19,M,6,7,7,7
222,U,U19,F,1,7,7,6
223,U,U19,F,2,4,3,7
224,U,U19,F,3,5,3,7
225,U,U19,F,4,1,4,7
226,U,U19,F,5,7,7,7
227,U,U19,F,6,3,4,7
228,U,U20,M,1,6,7,3
229,U,U20,M,2,4,5,7
230,U,U20,M,3,3,3,7
231,U,U20,M,4,5,6,7
232,U,U20,M,5,5,6,4
233,U,U20,M,6,5,7,7
234,U,U20,F,1,6,7,5
235,U,U20,F,2,5,3,2
236,U,U20,F,3,2,4,7
237,U,U20,F,4,5,5,7
238,U,U20,F,5,7,7,7
239,U,U20,F,6,7,6,7
240,L,L01,F,1,5,3,6
241,L,L01,F,2,1,6,3
242,L,L01,F,3,3,6,1
243,L,L01,F,4,4,3,1
244,L,L01,F,5,5,2,2
245,L,L01,F,6,6,2,1
246,L,L01,M,1,5,1,5
247,L,L01,M,2,1,7,1
248,L,L01,M,3,1,7,1
249,L,L01,M,4,4,4,1
250,L,L01,M,5,7,1,2
251,L,L01,M,6,5,1,1
252,L,L02,F,1,6,1,5
253,L,L02,F,2,3,6,1
254,L,L02,F,3,2,5,1
255,L,L02,F,4,6,1,1
256,L,L02,F,5,4,1,3
257,L,L02,F,6,6,1,1
258,L,L02,M,1,3,5,1
259,L,L02,M,2,1,7,1
260,L,L02,M,3,1,7,7
261,L,L02,M,4,1,7,4
262,L,L02,M,5,4,5,6
263,L,L02,M,6,7,1,1
264,L,L03,F,1,7,7,5
265,L,L03,F,2,2,4,7
266,L,L03,F,3,1,3,7
267,L,L03,F,4,6,6,7
268,L,L03,F,5,7,7,7
269,L,L03,F,6,7,7,7
270,L,L03,M,1,7,7,6
271,L,L03,M,2,5,4,7
272,L,L03,M,3,4,4,7
273,L,L03,M,4,4,4,7
274,L,L03,M,5,7,7,6
275,L,L03,M,6,7,7,7
276,L,L04,F,1,7,7,7
277,L,L04,F,2,3,4,7
278,L,L04,F,3,2,2,7
279,L,L04,F,4,7,6,7
280,L,L04,F,5,7,7,7
281,L,L04,F,6,4,7,7
282,L,L04,M,1,6,1,5
283,L,L04,M,2,2,4,7
284,L,L04,M,3,3,3,7
285,L,L04,M,4,5,4,7
286,L,L04,M,5,6,7,7
287,L,L04,M,6,7,7,7
288,L,L05,F,1,7,7,2
289,L,L05,F,2,3,4,7
290,L,L05,F,3,2,2,7
291,L,L05,F,4,5,1,6
292,L,L05,F,5,7,7,5
293,L,L05,F,6,7,7,7
294,L,L05,M,1,6,6,5
295,L,L05,M,2,4,3,4
296,L,L05,M,3,5,3,4
297,L,L05,M,4,6,4,4
298,L,L05,M,5,5,5,3
299,L,L05,M,6,4,4,5
300,L,L06,F,1,6,7,3
301,L,L06,F,2,2,3,7
302,L,L06,F,3,1,1,7
303,L,L06,F,4,7,4,7
304,L,L06,F,5,7,7,3
305,L,L06,F,6,1,5,7
306,L,L06,M,1,5,7,4
307,L,L06,M,2,1,4,7
308,L,L06,M,3,2,2,7
309,L,L06,M,4,6,3,4
310,L,L06,M,5,6,6,3
311,L,L06,M,6,6,6,7
312,L,L07,M,1,7,7,7
313,L,L07,M,2,4,4,4
314,L,L07,M,3,4,3,4
315,L,L07,M,4,7,7,7
316,L,L07,M,5,5,5,3
317,L,L07,M,6,7,7,7
318,L,L07,F,1,5,5,6
319,L,L07,F,2,2,3,6
320,L,L07,F,3,1,1,5
321,L,L07,F,4,7,5,7
322,L,L07,F,5,7,6,7
323,L,L07,F,6,6,5,6
324,L,L08,F,1,6,1,5
325,L,L08,F,2,3,4,7
326,L,L08,F,3,1,1,7
327,L,L08,F,4,7,6,7
328,L,L08,F,5,7,7,5
329,L,L08,F,6,4,6,3
330,L,L08,M,1,5,6,4
331,L,L08,M,2,2,4,7
332,L,L08,M,3,1,2,7
333,L,L08,M,4,5,4,7
334,L,L08,M,5,6,6,4
335,L,L08,M,6,7,7,4
336,L,L09,F,1,3,1,4
337,L,L09,F,2,4,2,1
338,L,L09,F,3,5,4,3
339,L,L09,F,4,3,6,1
340,L,L09,F,5,1,1,2
341,L,L09,F,6,1,1,1
342,L,L09,M,1,6,1,3
343,L,L09,M,2,5,5,6
344,L,L09,M,3,7,3,5
345,L,L09,M,4,5,5,7
346,L,L09,M,5,2,6,2
347,L,L09,M,6,6,6,7
348,L,L10,F,1,6,7,1
349,L,L10,F,2,2,1,7
350,L,L10,F,3,1,1,6
351,L,L10,F,4,7,5,7
352,L,L10,F,5,5,5,4
353,L,L10,F,6,4,5,6
354,L,L10,M,1,6,7,3
355,L,L10,M,2,3,4,4
356,L,L10,M,3,2,3,4
357,L,L10,M,4,6,4,4
358,L,L10,M,5,5,5,4
359,L,L10,M,6,5,5,4
360,L,L11,F,1,3,5,5
361,L,L11,F,2,5,3,7
362,L,L11,F,3,2,2,5
363,L,L11,F,4,6,6,7
364,L,L11,F,5,7,7,7
365,L,L11,F,6,4,6,7
366,L,L11,M,1,5,1,5
367,L,L11,M,2,4,2,7
368,L,L11,M,3,2,1,7
369,L,L11,M,4,2,4,7
370,L,L11,M,5,5,6,7
371,L,L11,M,6,6,7,7
372,L,L12,M,1,6,4,6
373,L,L12,M,2,5,5,7
374,L,L12,M,3,6,4,7
375,L,L12,M,4,4,7,7
376,L,L12,M,5,6,7,7
377,L,L12,M,6,7,7,7
378,L,L12,F,1,6,1,2
379,L,L12,F,2,4,3,1
380,L,L12,F,3,1,4,7
381,L,L12,F,4,2,4,7
382,L,L12,F,5,3,4,5
383,L,L12,F,6,5,4,7
384,L,L13,M,1,6,7,7
385,L,L13,M,2,4,5,7
386,L,L13,M,3,5,3,7
387,L,L13,M,4,7,6,7
388,L,L13,M,5,5,7,3
389,L,L13,M,6,6,7,6
390,L,L13,F,1,5,5,3
391,L,L13,F,2,3,3,7
392,L,L13,F,3,3,2,7
393,L,L13,F,4,7,6,7
394,L,L13,F,5,7,6,2
395,L,L13,F,6,7,7,7
396,L,L14,F,1,6,6,6
397,L,L14,F,2,7,4,7
398,L,L14,F,3,4,6,5
399,L,L14,F,4,1,7,7
400,L,L14,F,5,7,7,7
401,L,L14,F,6,3,6,7
402,L,L14,M,1,5,1,2
403,L,L14,M,2,4,2,7
404,L,L14,M,3,2,3,6
405,L,L14,M,4,2,6,5
406,L,L14,M,5,1,6,5
407,L,L14,M,6,7,5,5
408,L,L15,F,1,6,7,7
409,L,L15,F,2,2,4,7
410,L,L15,F,3,5,4,7
411,L,L15,F,4,7,4,7
412,L,L15,F,5,7,6,7
413,L,L15,F,6,7,7,7
414,L,L15,M,1,6,5,2
415,L,L15,M,2,4,4,4
416,L,L15,M,3,3,2,1
417,L,L15,M,4,5,5,4
418,L,L15,M,5,6,7,2
419,L,L15,M,6,7,6,1
420,L,L16,M,1,5,1,2
421,L,L16,M,2,5,3,6
422,L,L16,M,3,2,3,6
423,L,L16,M,4,3,2,6
424,L,L16,M,5,6,6,3
425,L,L16,M,6,6,3,6
426,L,L16,F,1,1,7,6
427,L,L16,F,2,7,6,7
428,L,L16,F,3,1,1,7
429,L,L16,F,4,7,4,7
430,L,L16,F,5,7,7,7
431,L,L16,F,6,7,7,7
432,L,L17,F,1,6,7,5
433,L,L17,F,2,3,5,7
434,L,L17,F,3,4,5,7
435,L,L17,F,4,5,5,7
436,L,L17,F,5,6,7,7
437,L,L17,F,6,3,7,7
438,L,L17,M,1,6,6,5
439,L,L17,M,2,2,3,7
440,L,L17,M,3,5,5,7
441,L,L17,M,4,7,7,7
442,L,L17,M,5,7,6,6
443,L,L17,M,6,4,7,7
444,L,L18,M,1,7,7,7
445,L,L18,M,2,3,5,7
446,L,L18,M,3,1,4,7
447,L,L18,M,4,6,7,7
448,L,L18,M,5,6,7,6
449,L,L18,M,6,6,5,7
450,L,L18,F,1,6,6,6
451,L,L18,F,2,5,5,7
452,L,L18,F,3,3,3,7
453,L,L18,F,4,6,5,7
454,L,L18,F,5,6,7,4
455,L,L18,F,6,4,6,7
456,L,L19,F,1,6,7,4
457,L,L19,F,2,1,4,7
458,L,L19,F,3,2,1,7
459,L,L19,F,4,3,5,7
460,L,L19,F,5,7,6,7
461,L,L19,F,6,4,6,7
462,L,L19,M,1,6,6,4
463,L,L19,M,2,5,5,7
464,L,L19,M,3,6,4,7
465,L,L19,M,4,2,7,7
466,L,L19,M,5,6,7,7
467,L,L19,M,6,6,7,7
468,L,L20,M,1,5,7,4
469,L,L20,M,2,1,5,3
470,L,L20,M,3,5,2,7
471,L,L20,M,4,1,5,7
472,L,L20,M,5,1,5,5
473,L,L20,M,6,7,7,7
474,L,L20,F,1,6,6,7
475,L,L20,F,2,6,4,7
476,L,L20,F,3,6,2,7
477,L,L20,F,4,4,5,7
478,L,L20,F,5,5,7,7
479,L,L20,F,6,7,7,7
480,L,L21,F,1,6,1,5
481,L,L21,F,2,7,5,1
482,L,L21,F,3,1,2,5
483,L,L21,F,4,7,4,7
484,L,L21,F,5,7,5,7
485,L,L21,F,6,7,4,7
486,L,L21,M,1,6,1,7
487,L,L21,M,2,6,5,7
488,L,L21,M,3,6,4,7
489,L,L21,M,4,7,7,7
490,L,L21,M,5,7,7,7
491,L,L21,M,6,7,7,7
492,F,F01,M,1,6,1,2
493,F,F01,M,2,5,2,1
494,F,F01,M,3,3,5,1
495,F,F01,M,4,3,3,1
496,F,F01,M,5,6,1,1
497,F,F01,M,6,7,1,1
498,F,F01,F,1,6,1,3
499,F,F01,F,2,4,3,1
500,F,F01,F,3,1,5,2
501,F,F01,F,4,5,1,2
502,F,F01,F,5,7,1,4
503,F,F01,F,6,5,1,1
504,F,F02,M,1,6,1,4
505,F,F02,M,2,3,1,4
506,F,F02,M,3,4,3,7
507,F,F02,M,4,5,4,7
508,F,F02,M,5,6,6,4
509,F,F02,M,6,5,5,7
510,F,F02,F,1,7,7,5
511,F,F02,F,2,1,1,7
512,F,F02,F,3,1,1,7
513,F,F02,F,4,5,4,7
514,F,F02,F,5,7,7,7
515,F,F02,F,6,7,7,7
516,F,F03,F,1,7,7,4
517,F,F03,F,2,7,7,7
518,F,F03,F,3,1,1,1
519,F,F03,F,4,4,4,1
520,F,F03,F,5,7,7,7
521,F,F03,F,6,7,7,7
522,F,F03,M,1,7,6,6
523,F,F03,M,2,6,4,7
524,F,F03,M,3,4,4,7
525,F,F03,M,4,7,6,7
526,F,F03,M,5,5,6,7
527,F,F03,M,6,7,7,7
528,F,F04,F,1,7,7,5
529,F,F04,F,2,7,5,7
530,F,F04,F,3,5,3,7
531,F,F04,F,4,5,5,7
532,F,F04,F,5,7,6,7
533,F,F04,F,6,7,6,7
534,F,F04,M,1,6,1,2
535,F,F04,M,2,5,1,7
536,F,F04,M,3,2,2,5
537,F,F04,M,4,7,6,7
538,F,F04,M,5,6,4,7
539,F,F04,M,6,1,4,4
540,F,F05,F,1,7,7,4
541,F,F05,F,2,7,5,7
542,F,F05,F,3,1,1,6
543,F,F05,F,4,7,4,7
544,F,F05,F,5,7,6,7
545,F,F05,F,6,7,7,7
546,F,F05,M,1,2,6,1
547,F,F05,M,2,1,4,5
548,F,F05,M,3,6,4,7
549,F,F05,M,4,4,5,5
550,F,F05,M,5,5,6,5
551,F,F05,M,6,7,7,7
552,F,F06,M,1,6,2,6
553,F,F06,M,2,5,3,1
554,F,F06,M,3,3,6,1
555,F,F06,M,4,2,1,1
556,F,F06,M,5,1,1,3
557,F,F06,M,6,1,5,1
558,F,F06,F,1,7,7,5
559,F,F06,F,2,4,3,7
560,F,F06,F,3,3,4,6
561,F,F06,F,4,6,7,7
562,F,F06,F,5,7,7,7
563,F,F06,F,6,7,7,7
564,F,F07,F,1,6,1,5
565,F,F07,F,2,1,1,1
566,F,F07,F,3,1,5,2
567,F,F07,F,4,7,1,1
568,F,F07,F,5,7,1,1
569,F,F07,F,6,7,1,1
570,F,F07,M,1,6,5,5
571,F,F07,M,2,6,3,6
572,F,F07,M,3,4,4,6
573,F,F07,M,4,7,5,7
574,F,F07,M,5,2,4,4
575,F,F07,M,6,6,7,7
576,F,F08,F,1,7,7,1
577,F,F08,F,2,5,2,6
578,F,F08,F,3,1,1,7
579,F,F08,F,4,7,4,3
580,F,F08,F,5,7,6,5
581,F,F08,F,6,6,6,7
582,F,F08,M,1,7,7,3
583,F,F08,M,2,6,4,6
584,F,F08,M,3,4,3,7
585,F,F08,M,4,1,6,7
586,F,F08,M,5,7,7,6
587,F,F08,M,6,7,5,7
588,F,F09,F,1,6,7,7
589,F,F09,F,2,4,4,4
590,F,F09,F,3,1,6,2
591,F,F09,F,4,7,5,7
592,F,F09,F,5,4,5,4
593,F,F09,F,6,1,6,7
594,F,F09,M,1,7,7,5
595,F,F09,M,2,6,4,7
596,F,F09,M,3,5,1,7
597,F,F09,M,4,6,4,7
598,F,F09,M,5,7,7,4
599,F,F09,M,6,4,4,7
600,F,F10,M,1,5,1,5
601,F,F10,M,2,3,4,4
602,F,F10,M,3,5,3,6
603,F,F10,M,4,6,6,7
604,F,F10,M,5,4,6,5
605,F,F10,M,6,6,6,6
606,F,F10,F,1,7,7,3
607,F,F10,F,2,3,4,7
608,F,F10,F,3,1,2,4
609,F,F10,F,4,7,4,7
610,F,F10,F,5,5,6,5
611,F,F10,F,6,4,4,4
612,F,F11,M,1,6,6,3
613,F,F11,M,2,3,3,7
614,F,F11,M,3,3,3,7
615,F,F11,M,4,5,4,7
616,F,F11,M,5,3,2,7
617,F,F11,M,6,6,5,7
618,F,F11,F,1,7,7,7
619,F,F11,F,2,2,7,7
620,F,F11,F,3,7,2,7
621,F,F11,F,4,4,7,7
622,F,F11,F,5,7,7,7
623,F,F11,F,6,2,7,7
624,F,F12,M,1,5,7,6
625,F,F12,M,2,6,4,7
626,F,F12,M,3,6,4,7
627,F,F12,M,4,7,6,7
628,F,F12,M,5,7,6,7
629,F,F12,M,6,6,6,7
630,F,F12,F,1,6,7,7
631,F,F12,F,2,5,4,7
632,F,F12,F,3,2,3,7
633,F,F12,F,4,7,4,7
634,F,F12,F,5,7,5,7
635,F,F12,F,6,7,7,7
636,F,F13,M,1,7,7,7
637,F,F13,M,2,4,5,6
638,F,F13,M,3,7,4,7
639,F,F13,M,4,6,6,7
640,F,F13,M,5,7,7,7
641,F,F13,M,6,7,6,7
642,F,F13,F,1,5,6,4
643,F,F13,F,2,2,4,6
644,F,F13,F,3,1,1,7
645,F,F13,F,4,7,5,6
646,F,F13,F,5,4,6,2
647,F,F13,F,6,4,6,6
648,F,F14,M,1,6,7,4
649,F,F14,M,2,6,4,6
650,F,F14,M,3,6,3,6
651,F,F14,M,4,6,6,7
652,F,F14,M,5,3,6,3
653,F,F14,M,6,7,7,5
654,F,F14,F,1,6,1,4
655,F,F14,F,2,3,3,2
656,F,F14,F,3,2,2,7
657,F,F14,F,4,7,6,7
658,F,F14,F,5,6,6,1
659,F,F14,F,6,4,1,2
660,F,F15,F,1,4,7,7
661,F,F15,F,2,5,6,6
662,F,F15,F,3,1,4,5
663,F,F15,F,4,7,7,7
664,F,F15,F,5,2,7,5
665,F,F15,F,6,7,7,7
666,F,F15,M,1,4,7,5
667,F,F15,M,2,3,2,1
668,F,F15,M,3,1,3,6
669,F,F15,M,4,7,6,7
670,F,F15,M,5,7,1,5
671,F,F15,M,6,7,7,7
672,F,F16,M,1,5,6,7
673,F,F16,M,2,5,5,7
674,F,F16,M,3,6,6,6
675,F,F16,M,4,6,4,7
676,F,F16,M,5,4,4,5
677,F,F16,M,6,4,5,7
678,F,F16,F,1,6,6,6
679,F,F16,F,2,6,4,7
680,F,F16,F,3,2,2,4
681,F,F16,F,4,5,5,7
682,F,F16,F,5,7,7,7
683,F,F16,F,6,7,7,7
684,F,F17,M,1,5,6,5
685,F,F17,M,2,6,3,7
686,F,F17,M,3,2,3,7
687,F,F17,M,4,4,4,7
688,F,F17,M,5,7,6,7
689,F,F17,M,6,7,6,7
690,F,F17,F,1,7,7,7
691,F,F17,F,2,2,5,7
692,F,F17,F,3,1,5,7
693,F,F17,F,4,7,5,7
694,F,F17,F,5,7,7,7
695,F,F17,F,6,7,7,7
696,F,F18,M,1,6,4,7
697,F,F18,M,2,4,4,7
698,F,F18,M,3,3,4,6
699,F,F18,M,4,7,7,7
700,F,F18,M,5,4,7,7
701,F,F18,M,6,1,4,4
702,F,F18,F,1,7,7,4
703,F,F18,F,2,5,4,7
704,F,F18,F,3,1,4,7
705,F,F18,F,4,7,7,7
706,F,F18,F,5,7,7,7
707,F,F18,F,6,7,6,7
708,F,F19,M,1,6,7,3
709,F,F19,M,2,2,3,7
710,F,F19,M,3,3,4,7
711,F,F19,M,4,5,4,7
712,F,F19,M,5,6,5,3
713,F,F19,M,6,4,5,7
714,F,F19,F,1,5,6,5
715,F,F19,F,2,6,4,1
716,F,F19,F,3,2,5,7
717,F,F19,F,4,6,1,7
718,F,F19,F,5,5,7,7
719,F,F19,F,6,5,6,7
720,F,F20,F,1,5,1,1
721,F,F20,F,2,5,1,1
722,F,F20,F,3,4,4,1
723,F,F20,F,4,6,1,1
724,F,F20,F,5,6,1,1
725,F,F20,F,6,3,1,1
726,F,F20,M,1,6,1,1
727,F,F20,M,2,4,1,1
728,F,F20,M,3,4,3,1
729,F,F20,M,4,5,1,1
730,F,F20,M,5,5,1,1
731,F,F20,M,6,5,1,1
732,F,F21,M,1,6,7,6
733,F,F21,M,2,5,6,6
734,F,F21,M,3,5,3,7
735,F,F21,M,4,5,6,7
736,F,F21,M,5,5,6,5
737,F,F21,M,6,6,6,7
738,F,F21,F,1,7,7,6
739,F,F21,F,2,4,4,7
740,F,F21,F,3,3,4,7
741,F,F21,F,4,4,4,7
742,F,F21,F,5,7,7,7
743,F,F21,F,6,7,7,7
744,F,F22,M,1,5,6,2
745,F,F22,M,2,4,4,7
746,F,F22,M,3,2,3,4
747,F,F22,M,4,5,5,6
748,F,F22,M,5,6,6,6
749,F,F22,M,6,6,7,7
750,F,F22,F,1,5,7,2
751,F,F22,F,2,4,5,6
752,F,F22,F,3,1,2,7
753,F,F22,F,4,3,5,7
754,F,F22,F,5,5,6,7
755,F,F22,F,6,7,6,7
756,F,F23,M,1,7,7,6
757,F,F23,M,2,3,4,7
758,F,F23,M,3,2,3,7
759,F,F23,M,4,7,5,7
760,F,F23,M,5,7,7,7
761,F,F23,M,6,4,4,7
762,F,F23,F,1,7,7,7
763,F,F23,F,2,2,4,7
764,F,F23,F,3,5,2,7
765,F,F23,F,4,3,5,7
766,F,F23,F,5,5,5,7
767,F,F23,F,6,3,4,7
